flightnum,origin,dest
827,DCA,ORD
859,ORD,SAN
1042,DFW,RDU
1067,IND,DFW
1102,IAH,DFW
1130,SJU,PHL
1130,SJU,PHL
1150,LAS,ORD
1170,BUR,DFW
1214,SAT,ORD
1230,COS,DFW
1239,DFW,MFE
1289,MIA,ORD
1321,SEA,ORD
1337,ORD,PSP
1358,SNA,SJC
1409,ORD,SNA
1428,IAH,DFW
1467,ORD,DEN
1476,SAN,ORD
1487,ORD,LAX
1502,MIA,CLE
1570,SNA,STL
1639,JFK,SJU
1677,ORD,SNA
1689,BOS,PBI
1705,DFW,OAK
1719,DFW,SEA
1721,ORD,XNA
1763,DFW,SEA
1836,MIA,DCA
1854,BUR,DFW
1881,AUS,SJC
1909,MIA,DEN
1925,ATL,DFW
1937,IAD,SJU
1988,ORD,DCA
1992,SJU,BOS
2009,BDL,SJU
2043,DCA,DFW
2057,MSY,DFW
2103,BDL,MIA
2207,DFW,EGE
2252,JAC,ORD
2264,ATL,ORD
2287,DFW,EGE
2292,LAX,EGE
2378,EGE,ORD
2378,EGE,ORD
2387,MIA,EGE
2387,MIA,EGE
2388,DFW,MDW
2396,EGE,EWR
2397,EWR,EGE
2398,EGE,MIA
2398,EGE,MIA
2404,LAX,DFW
2435,ORD,BNA
2995,RIC,DFW
17,MIA,SEA
17,MIA,SEA
19,MCO,SEA
53,ANC,OME
60,JNU,KTN
60,JNU,KTN
60,JNU,KTN
61,SEA,JNU
61,SEA,JNU
62,ANC,JNU
64,ANC,JNU
64,ANC,JNU
64,ANC,JNU
64,JNU,PSG
64,JNU,PSG
64,JNU,PSG
64,PSG,WRG
64,PSG,WRG
64,PSG,WRG
65,JNU,ANC
65,SEA,KTN
65,SEA,KTN
66,ANC,CDV
66,JNU,SEA
66,YAK,JNU
66,YAK,JNU
67,KTN,SIT
67,SIT,JNU
70,ANC,JNU
70,ANC,JNU
70,ANC,JNU
75,SEA,JNU
83,MCO,SEA
83,MCO,SEA
85,SEA,ANC
145,FAI,BRW
153,ANC,OTZ
294,GEG,SEA
344,SEA,SJC
401,BUR,SEA
415,BUR,PDX
422,SEA,SNA
422,SEA,SNA
425,BUR,SEA
425,BUR,SEA
425,BUR,SEA
437,LAX,GEG
441,BUR,PDX
463,SAN,SEA
487,SNA,SEA
515,BUR,SEA
561,BUR,SEA
561,BUR,SEA
575,SAN,SEA
663,LAS,SEA
752,SEA,PHX
107,JFK,OAK
91,JFK,OAK
255,LGB,IAD
221,JFK,LGB
109,JFK,OAK
93,JFK,OAK
183,JFK,SAN
15,EWR,HNL
515,IAH,HDN
725,IAH,LGA
15,EWR,HNL
490,IAH,SLC
1552,IAH,SFO
340,IAH,EGE
48,OGG,IAH
784,EWR,PDX
1124,MDW,EWR
48,OGG,IAH
1146,EWR,MDW
1800,FLL,EWR
464,EWR,SJC
1532,IAH,LGA
15,EWR,HNL
1847,EWR,SLC
329,SFO,IAH
318,IAH,HDN
15,EWR,HNL
148,EWR,SFO
839,EWR,MSY
1201,EWR,FLL
301,IAH,PDX
15,EWR,HNL
1094,EWR,EGE
1094,EWR,EGE
1508,BWI,IAH
1830,ONT,IAH
48,OGG,IAH
212,BQN,EWR
1606,SFO,IAH
348,EWR,SFO
