"_c0",dayofmonth,arrtime
SYR,21,1126
SYR,21,1204
SYR,21,1215
SYR,21,1305
SYR,21,1337
SYR,21,1347
SYR,21,1410
SYR,21,1427
SYR,21,1431
SYR,21,1545
SYR,21,1556
SYR,21,1615
SYR,21,1617
SYR,21,1629
SYR,21,1654
SYR,21,1711
SYR,21,1745
SYR,21,1813
SYR,21,1822
SYR,21,1841
SYR,21,1955
SYR,21,2050
SYR,21,2118
SYR,21,2132
SYR,21,2143
SYR,21,2216
SYR,21,2257
SYR,21,2310
SYR,21,2323
SYR,21,3
SYR,21,903
SYR,21,918
SYR,21,925
SYR,21,943
SYR,21,951
SYR,22,1015
SYR,22,1016
SYR,22,1031
SYR,22,1039
SYR,22,1101
SYR,22,1149
SYR,22,1207
SYR,22,1227
SYR,22,1313
SYR,22,1340
SYR,22,1352
SYR,22,1414
SYR,22,1419
SYR,22,1431
SYR,22,1517
SYR,22,1553
SYR,22,1607
SYR,22,1619
SYR,22,1631
SYR,22,1706
SYR,22,1728
SYR,22,1800
SYR,22,1811
SYR,22,1820
SYR,22,1824
SYR,22,2105
SYR,22,2110
SYR,22,2133
SYR,22,2138
SYR,22,2228
SYR,22,2228
SYR,22,2230
SYR,22,2241
SYR,22,2307
SYR,22,2352
SYR,22,2400
SYR,22,838
SYR,22,932
SYR,23,1002
SYR,23,1032
SYR,23,1127
SYR,23,1221
SYR,23,1224
SYR,23,1245
SYR,23,1319
SYR,23,140
SYR,23,1424
SYR,23,1429
SYR,23,1430
SYR,23,1432
SYR,23,1521
SYR,23,1623
SYR,23,1627
SYR,23,1644
SYR,23,1708
SYR,23,1710
SYR,23,1740
SYR,23,1811
SYR,23,1835
SYR,23,1835
SYR,23,1905
SYR,23,1907
SYR,23,2052
SYR,23,2123
SYR,23,2124
SYR,23,2143
SYR,23,2205
SYR,23,2237
SYR,23,2335
SYR,23,2343
SYR,23,2346
SYR,23,338
SYR,23,857
SYR,23,926
SYR,23,940
SYR,23,956
SYR,24,1000
SYR,24,1038
SYR,24,1054
SYR,24,1127
SYR,24,1138
SYR,24,1211
SYR,24,1320
SYR,24,1324
SYR,24,1350
SYR,24,1414
SYR,24,1459
SYR,24,1515
SYR,24,1543
SYR,24,1613
SYR,24,1631
SYR,24,1726
SYR,24,1730
SYR,24,1826
SYR,24,1830
SYR,24,1830
SYR,24,1843
SYR,24,1936
SYR,24,2052
SYR,24,2110
SYR,24,2143
SYR,24,2157
SYR,24,2211
SYR,24,2223
SYR,24,2250
SYR,24,2341
SYR,24,857
SYR,24,920
SYR,25,1000
SYR,25,1009
SYR,25,1050
SYR,25,1050
SYR,25,1213
SYR,25,1216
SYR,25,1320
SYR,25,1338
SYR,25,1358
SYR,25,1358
SYR,25,1407
SYR,25,1426
SYR,25,1518
SYR,25,1544
SYR,25,1611
SYR,25,1620
SYR,25,1626
SYR,25,1704
SYR,25,1742
SYR,25,1809
SYR,25,1816
SYR,25,1824
SYR,25,2007
SYR,25,2129
SYR,25,2133
SYR,25,2159
SYR,25,2228
SYR,25,2230
SYR,25,2319
SYR,25,2321
SYR,25,2330
SYR,25,2355
SYR,25,2400
SYR,25,834
SYR,25,923
SYR,26,1015
SYR,26,1036
SYR,26,108
SYR,26,1125
SYR,26,1203
SYR,26,1216
SYR,26,1222
SYR,26,1318
SYR,26,1432
SYR,26,1448
SYR,26,1522
SYR,26,1525
SYR,26,1539
SYR,26,1609
SYR,26,1614
SYR,26,1615
SYR,26,1619
SYR,26,1658
SYR,26,1718
SYR,26,1738
SYR,26,1909
SYR,26,1910
SYR,26,1954
SYR,26,2020
SYR,26,2055
SYR,26,2115
SYR,26,2136
SYR,26,2200
SYR,26,2229
SYR,26,2253
SYR,26,2313
SYR,26,2319
SYR,26,2333
SYR,26,920
SYR,26,950
SYR,27,1001
SYR,27,101
SYR,27,1025
SYR,27,1041
SYR,27,1051
