"_c0",dayofmonth,deptime
SYR,23,646
SYR,23,655
SYR,23,708
SYR,23,723
SYR,23,910
SYR,23,915
SYR,23,955
SYR,24,1013
SYR,24,1035
SYR,24,1040
SYR,24,1059
SYR,24,1129
SYR,24,1228
SYR,24,1242
SYR,24,1250
SYR,24,1346
SYR,24,1413
SYR,24,1440
SYR,24,1452
SYR,24,1523
SYR,24,1604
SYR,24,1637
SYR,24,1700
SYR,24,1711
SYR,24,1840
SYR,24,1900
SYR,24,1901
SYR,24,559
SYR,24,605
SYR,24,620
SYR,24,620
SYR,24,633
SYR,24,648
SYR,24,655
SYR,24,705
SYR,24,721
SYR,24,900
SYR,24,950
SYR,24,958
SYR,25,1018
SYR,25,1037
SYR,25,1110
SYR,25,1131
SYR,25,1209
SYR,25,1228
SYR,25,1241
SYR,25,1250
SYR,25,1305
SYR,25,1422
SYR,25,1431
SYR,25,1452
SYR,25,1452
SYR,25,1525
SYR,25,1538
SYR,25,1606
SYR,25,1635
SYR,25,1646
SYR,25,1703
SYR,25,1757
SYR,25,1820
SYR,25,1825
SYR,25,1840
SYR,25,1854
SYR,25,618
SYR,25,620
SYR,25,639
SYR,25,651
SYR,25,655
SYR,25,711
SYR,25,723
SYR,25,911
SYR,25,950
SYR,25,958
SYR,26,1020
SYR,26,1106
SYR,26,1121
SYR,26,1140
SYR,26,1145
SYR,26,1234
SYR,26,1244
SYR,26,1413
SYR,26,1511
SYR,26,1527
SYR,26,1543
SYR,26,1602
SYR,26,1612
SYR,26,1645
SYR,26,1646
SYR,26,1654
SYR,26,1800
SYR,26,1800
SYR,26,1810
SYR,26,1911
SYR,26,1915
SYR,26,2020
SYR,26,559
SYR,26,559
SYR,26,610
SYR,26,624
SYR,26,643
SYR,26,650
SYR,26,717
SYR,26,811
SYR,26,815
SYR,26,913
SYR,26,948
SYR,26,952
SYR,27,1005
SYR,27,1018
SYR,27,1045
SYR,27,1118
SYR,27,1121
SYR,27,1142
SYR,27,1310
SYR,27,1403
SYR,27,1421
SYR,27,1452
SYR,27,1525
SYR,27,1525
SYR,27,1614
SYR,27,1706
SYR,27,1739
SYR,27,1757
SYR,27,1758
SYR,27,1813
SYR,27,1815
SYR,27,1845
SYR,27,1853
SYR,27,559
SYR,27,621
SYR,27,638
SYR,27,647
SYR,27,650
SYR,27,700
SYR,27,716
SYR,27,929
SYR,27,945
SYR,28,1020
SYR,28,1024
SYR,28,1045
SYR,28,1134
SYR,28,1241
SYR,28,1250
SYR,28,1253
SYR,28,1403
SYR,28,1420
SYR,28,1453
SYR,28,1525
SYR,28,1527
SYR,28,1600
SYR,28,1631
SYR,28,1649
SYR,28,1700
SYR,28,1703
SYR,28,1802
SYR,28,1810
SYR,28,1817
SYR,28,1818
SYR,28,1902
SYR,28,1945
SYR,28,600
SYR,28,600
SYR,28,601
SYR,28,620
SYR,28,637
SYR,28,648
SYR,28,703
SYR,28,715
SYR,28,746
SYR,28,906
SYR,28,930
SYR,29,1017
SYR,29,1030
SYR,29,1042
SYR,29,1043
SYR,29,1119
SYR,29,1229
SYR,29,1245
SYR,29,1334
SYR,29,1406
SYR,29,1420
SYR,29,1505
SYR,29,1514
SYR,29,1526
SYR,29,1526
SYR,29,1606
SYR,29,1647
SYR,29,1651
SYR,29,1658
SYR,29,1700
SYR,29,1716
SYR,29,1807
SYR,29,1814
SYR,29,1814
SYR,29,1857
SYR,29,2025
SYR,29,555
SYR,29,603
SYR,29,614
SYR,29,617
SYR,29,627
SYR,29,634
SYR,29,644
SYR,29,659
SYR,29,712
SYR,29,720
SYR,29,907
SYR,29,914
SYR,29,958
SYR,3,1000
SYR,3,1036
SYR,3,1050
SYR,3,1119
SYR,3,1226
SYR,3,1238
SYR,3,1247
SYR,3,1250
SYR,3,1349
SYR,3,1417
SYR,3,1429
SYR,3,1509
SYR,3,1532
SYR,3,1606
SYR,3,1621
SYR,3,1658
SYR,3,1659
SYR,3,1800
SYR,3,1852
SYR,3,1906
SYR,3,559
SYR,3,600
SYR,3,602
SYR,3,611
SYR,3,617
SYR,3,637
SYR,3,640
SYR,3,643
SYR,3,701
SYR,3,703
SYR,3,717
SYR,3,724
SYR,3,809
SYR,3,900
SYR,3,918
SYR,3,954
SYR,30,1014
SYR,30,1024
SYR,30,1045
SYR,30,1118
SYR,30,1230
SYR,30,1250
SYR,30,1250
SYR,30,1315
SYR,30,1402
SYR,30,1426
SYR,30,1434
SYR,30,1453
SYR,30,1528
SYR,30,1537
SYR,30,1559
SYR,30,1645
SYR,30,1700
SYR,30,1700
SYR,30,1732
SYR,30,1805
SYR,30,1806
SYR,30,1810
SYR,30,1852
SYR,30,1857
SYR,30,555
SYR,30,600
SYR,30,603
SYR,30,620
SYR,30,624
SYR,30,635
SYR,30,644
SYR,30,657
SYR,30,701
SYR,30,717
SYR,30,915
SYR,30,935
SYR,30,950
SYR,30,955
SYR,31,1008
SYR,31,1010
SYR,31,1021
SYR,31,1038
SYR,31,1038
SYR,31,1113
SYR,31,1236
SYR,31,1242
SYR,31,1242
SYR,31,1250
SYR,31,1347
SYR,31,1402
SYR,31,1449
SYR,31,1520
SYR,31,1556
SYR,31,1642
SYR,31,1645
SYR,31,1720
SYR,31,1803
SYR,31,1843
SYR,31,1857
SYR,31,557
SYR,31,559
SYR,31,600
SYR,31,620
SYR,31,628
SYR,31,640
SYR,31,658
SYR,31,700
SYR,31,716
SYR,31,726
SYR,31,910
SYR,4,1019
SYR,4,1035
SYR,4,1050
SYR,4,1112
SYR,4,1233
SYR,4,1244
SYR,4,1247
SYR,4,1255
SYR,4,1411
SYR,4,1432
SYR,4,1455
SYR,4,1532
SYR,4,1626
SYR,4,1700
SYR,4,1700
SYR,4,1758
SYR,4,1825
SYR,4,1837
SYR,4,1852
SYR,4,1915
SYR,4,600
SYR,4,610
SYR,4,613
SYR,4,613
SYR,4,629
SYR,4,634
SYR,4,651
SYR,4,727
SYR,4,743
SYR,4,757
SYR,4,842
SYR,4,915
SYR,4,922
SYR,4,955
SYR,5,1020
SYR,5,1045
SYR,5,1050
SYR,5,1052
SYR,5,1107
SYR,5,1142
SYR,5,1300
SYR,5,1313
SYR,5,1322
SYR,5,1351
SYR,5,1423
SYR,5,1437
SYR,5,1526
SYR,5,1536
SYR,5,1608
SYR,5,1701
SYR,5,1701
SYR,5,1711
SYR,5,1800
SYR,5,1820
SYR,5,1825
SYR,5,1839
SYR,5,1848
SYR,5,1855
SYR,5,1940
SYR,5,2017
SYR,5,600
SYR,5,600
SYR,5,603
SYR,5,620
SYR,5,630
SYR,5,638
SYR,5,649
SYR,5,657
SYR,5,657
SYR,5,709
SYR,5,720
SYR,5,805
SYR,5,910
SYR,5,950
SYR,6,1026
SYR,6,1050
SYR,6,1119
SYR,6,1129
SYR,6,1234
SYR,6,1236
SYR,6,1255
SYR,6,1331
SYR,6,1401
SYR,6,1428
SYR,6,1440
SYR,6,1450
SYR,6,1526
SYR,6,1559
SYR,6,1654
SYR,6,1700
SYR,6,1713
SYR,6,1716
SYR,6,1726
SYR,6,1800
SYR,6,1809
SYR,6,1825
SYR,6,1849
SYR,6,555
SYR,6,600
SYR,6,602
SYR,6,627
SYR,6,627
SYR,6,638
SYR,6,652
SYR,6,658
SYR,6,705
SYR,6,725
SYR,6,727
SYR,6,915
SYR,6,915
SYR,6,956
SYR,7,1008
SYR,7,1024
SYR,7,1024
SYR,7,1129
SYR,7,1230
SYR,7,1239
SYR,7,1240
SYR,7,1243
SYR,7,1300
SYR,7,1404
SYR,7,1420
SYR,7,1447
SYR,7,1449
SYR,7,1459
SYR,7,1527
SYR,7,1642
SYR,7,1644
SYR,7,1645
